iter	Passed	Remaining
0	0	72
1	1	68
2	1	63
3	2	58
4	3	57
5	3	55
6	4	55
7	4	54
8	5	52
9	5	53
10	6	52
11	7	51
12	7	51
13	8	50
14	8	50
15	9	50
16	10	49
17	10	49
18	11	48
19	12	48
20	12	47
21	13	46
22	13	46
23	14	45
24	15	45
25	15	44
26	16	44
27	16	43
28	17	42
29	18	42
30	18	41
31	19	41
32	20	40
33	20	39
34	21	39
35	21	38
36	22	38
37	22	37
38	23	37
39	24	36
40	25	36
41	25	34
42	25	34
43	26	33
44	27	33
45	27	32
46	28	32
47	29	31
48	29	31
49	30	30
50	31	29
51	31	29
52	32	28
53	32	28
54	33	27
55	33	26
56	34	26
57	35	25
58	36	25
59	36	24
60	37	23
61	38	23
62	38	22
63	39	22
64	39	21
65	40	20
66	41	20
67	41	19
68	42	19
69	43	18
70	43	17
71	44	17
72	45	16
73	45	16
74	46	15
75	47	14
76	47	14
77	48	13
78	48	13
79	49	12
80	50	11
81	50	11
82	51	10
83	52	9
84	52	9
85	53	8
86	54	8
87	54	7
88	55	6
89	55	6
90	56	5
91	57	4
92	57	4
93	58	3
94	59	3
95	59	2
96	60	1
97	60	1
98	61	0
99	62	0
